Reference,Value,Footprint,DATASHEET,Model,Supplier,Qty
BT1,1042P,1042P:1042P,https://www.keyelco.com/userAssets/file/M65p27.pdf,1042P,https://www.digikey.com/en/products/detail/keystone-electronics/1042P/4286267,1
C1-C3,4.7uF,GRM219R6YA475KA73D:GRM219R6YA475KA73D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219R6YA475KA73-01.pdf,GRM219R6YA475KA73D,https://www.digikey.com/en/products/detail/murata-electronics/grm219r6ya475ka73d/3900501,3
D1,Yellow,KW DSLP31.CC-GXHX-4J8K-Z444-60-R18:KW DSLP31.CC-GXHX-4J8K-Z444-60-R18,https://dammedia.osram.info/media/resource/hires/osram-dam-12826143/KW%20DSLP31.CC_EN.pdf,KW DSLP31.CC-GXHX-4J8K-Z444-60-R18,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/KW-DSLP31-CC-GXHX-4J8K-Z444-60-R18/13679462,1
D2,Red,LTST-C930KRKT:LTST-C930KRKT,https://www.digikey.com/en/products/detail/liteon/LTST-C930KRKT/386867,LTST-C930KRKT,https://www.digikey.com/en/products/detail/liteon/LTST-C930KRKT/386867,1
F1,630mA,3413_0214_22:FUS1206_24N_SCH,https://us.schurter.com/en/datasheet/typ_USI_1206.pdf,3413.0214.22,https://www.digikey.com/en/products/detail/schurter-inc/3413-0214-22/1522941,1
H1-H4,MountingHole,MountingHole:MountingHole_2.5mm,,,,4
J1-J5,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,5
L1,10uH,1239AS_H_100M_P2:IND_DFE252012C_MUR,https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundmetalalloychiptype/m_dfe252012c.ashx,1239AS-H-100M=P2,https://www.digikey.com/en/products/detail/murata-electronics/1239AS-H-100M-P2/5247174,1
R1,470,RC0805N_YAG:RC0805N_YAG,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,RC0805FR-07470RL,https://www.digikey.com/en/products/detail/yageo/rc0805fr-07470rl/727976,1
R2,2K,RG2012P-202-B-T5:RES_1220_SUS,https://www.susumu.co.jp/common/pdf/n_catalog_partition01_en.pdf,RG2012P-202-B-T5,https://www.digikey.com/en/products/detail/susumu/rg2012p-202-b-t5/1240703,1
R3,100k,ERJ_8ENF1003V:RC1206N_PAN,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,ERJ-8ENF1003V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8ENF1003V/89306,1
R4,33k,RMCF1206JT33K0:RES_RMCF1206_STP,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RMCF1206JT33K0,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF1206JT33K0/1753821,1
R5,560,RMCF1206FT560R:STA_RMCF1206_STP,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RMCF1206FT560R,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF1206FT560R/1759204,1
S1,SPDT,JS102011JCQN:SW_JS102011JCQN,https://www.ckswitches.com/media/1422/js.pdf,JS102011JCQN,https://www.digikey.com/en/products/detail/c-k/JS102011JCQN/6137628,1
U1,IC BATT CTRL,MCP73832T_2DCI_OT:MCP73832T_2DCI_OT,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP73831-Family-Data-Sheet-DS20001984H.pdf,MCP73832T-2DCI/OT,https://www.digikey.com/en/products/detail/microchip-technology/mcp73832t-2dci-ot/1223150,1
U2,IC REG BOOST,AP3012KTR_G1:SOT-23-5_DIO,https://www.diodes.com/assets/Datasheets/AP3012.pdf,AP3012KTR-G1,https://www.digikey.com/en/products/detail/diodes-incorporated/ap3012ktr-g1/4470846,1
"U4, U5",SCHOTTKY,1N5819HW-7-F:1N5819HW-7-F_DIO,https://www.diodes.com/assets/Datasheets/ds30217.pdf,1N5819HW-7-F,https://www.digikey.com/en/products/detail/diodes-incorporated/1n5819hw-7-f/814970,2
